SpeciesCode,year1975,year1976,year1977,year1978,year1979,year1980,year1981,year1982,year1983,year1984,year1987,year1988,year1989,year1990,year1991,year1992,year1993,year1994,year1995,year1996,year1997,year1998,year1999,year2000,year2001,year2002,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015
MARGMDTM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSQFISH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0.12,0.19,0.11,5.31,0.28,0.52,1.2,2.52,0.22,0.56,1.96,3.37,0.19
MUMICHOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHOGSUKR,0,0.23,1.04,0.05,0,0.25,0,0,0,0.11,0.04,0,0,0.07,0.2,0,0.59,0,0.11,0,2.56,0,0,0.07,0.23,0,0.12,2,2.37,0.21,0.36,0.11,0.12,0.63,1.37,2.22,0.15,0.07,0.37
PUMPSEED,2,0.1,5.22,0.26,2.33,0,1.22,0.15,0.26,1.74,0.54,1.67,0.56,0.04,0.84,0.41,0,0.04,0.07,0.15,0,0.03,0,1.03,0.04,0.04,0.58,0.04,0,0,0,0,0,0,0.04,0,0,0,0
QUILLBCK,0,0,0,0,0.14,0,0,0.04,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.04,0,0
REARSUNF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.04,0,0,0,0.15,0.12,0,0
REDBRSUN,0.35,0.67,0.43,0.02,0.83,0.08,0.11,0,0.07,0.37,0.35,0.22,0.52,2.3,2.08,3.81,0.63,5.63,0.74,0.26,0.85,2.42,0.74,11.23,1.69,3.3,2.27,0.11,0.85,5.93,2.04,7.59,18.88,3.37,2.78,1.78,1.15,0.81,1.07
RIVRCHUB,0.25,1.3,0.87,0.23,0.36,0.58,1.56,0.33,0.07,0.15,0.27,0,0.04,0.11,0.16,0.3,1.19,0.04,0,0.04,0.11,0.14,0,0,0.04,0.04,0,0.89,0.85,0.21,0.76,0.37,1.12,0.85,0.19,0.59,0,0.22,0
RNBDARTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0
ROCKBASS,0,0,0.02,0.02,0,0,0,0,0,0,0.08,0.33,0,0,0,0,0.04,0.04,0.04,0.04,0,0.03,0,0.3,0,0.04,0,0,0,0.07,0,0.04,0,0.22,0,0.15,0.04,0.04,0
ROSYDACE,0,0,0,0,0,0,0,0,0,14.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSYSHIN,0,0.13,10.48,7.51,0.33,2.08,0,0.26,0.15,1.7,0.38,11.33,0.22,0.3,0.48,0.15,0.04,0,0.07,0.74,0,0,0.11,0,0.69,0.11,0.46,1.04,0.19,2.45,10.08,2.74,0.44,0.41,0,3.33,0.23,17.89,11.89
SATFINSH,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHDRHORS,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHLDDART,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SILVMINN,0.95,0.63,0,0.56,0.33,6.58,0.28,3.93,0.26,3,1.85,0.33,0.48,1.56,1.92,0.37,0.04,0,0.04,0.22,0.07,0.25,0,0,0.42,0.78,0.08,0.04,0.07,0,0,0,0,0.07,0,0,0,0,0
